title,company,location,salary,date_posted,job_link,source
Mandarin Teacher,ACM Staffers,"Boston, MA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-at-acm-staffers-4260895880?position=1&pageNum=0&refId=jew32OuDvD5oQ7lc4TmSQw%3D%3D&trackingId=uUlufAjyZ8u2qKUZpEhg2w%3D%3D,LinkedIn
"Mandarin Teacher: Middle & High School - Montara, CA",Kreyco,"Montara, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-middle-high-school-montara-ca-at-kreyco-4261020090?position=2&pageNum=0&refId=jew32OuDvD5oQ7lc4TmSQw%3D%3D&trackingId=o8vnnjdgzmZi2fuDJOfFLg%3D%3D,LinkedIn
"Mandarin Teacher: Middle & High School - Montara, CA",Kreyco,"Moss Beach, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/mandarin-teacher-middle-high-school-montara-ca-at-kreyco-4261014741?position=3&pageNum=0&refId=jew32OuDvD5oQ7lc4TmSQw%3D%3D&trackingId=joWOfTrMgbruh1EaluHk2w%3D%3D,LinkedIn
