title,company,location,salary,date_posted,job_link,source
Chinese Mandarin Language Instructor,Yorktown Systems Group,"Los Angeles, CA",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-mandarin-language-instructor-at-yorktown-systems-group-4250714644?position=1&pageNum=0&refId=EABMLEXMVr00bzRvzzsbNA%3D%3D&trackingId=Fb5UMNT%2FzEUwcSANf%2FYV3Q%3D%3D,LinkedIn
"TU Associate Chinese Language Instructor, In-Person",Yorktown Systems Group,"Honolulu, HI",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/tu-associate-chinese-language-instructor-in-person-at-yorktown-systems-group-4252832576?position=2&pageNum=0&refId=EABMLEXMVr00bzRvzzsbNA%3D%3D&trackingId=wybOhiAS1eCi88evlMwUnw%3D%3D,LinkedIn
Chinese Language Teacher,Sishu Mandarin,"New York, NY",Check job details,Within last 7 days,https://www.linkedin.com/jobs/view/chinese-language-teacher-at-sishu-mandarin-4250729573?position=3&pageNum=0&refId=EABMLEXMVr00bzRvzzsbNA%3D%3D&trackingId=RdVANXgjKC1%2B4sjkmKgpdQ%3D%3D,LinkedIn
